"GreatPast,GreatFuture",Zoo/Aquarium,artMuseum,natural history museum,science and technology center,park,public library,live music,sporting event,lecture or talk about science,PoliticsInterest,CommunityInterest,SportsNewsInterest,BusinessInterest,ScienceNewsInterest,EntertainmentNewsInterest,HowOftenScienceNews,HowGetScienceNews,HealthMedInterest,TechInterest,EnvironmentInterest,NutritionInterest,AstromonyInterest,EvolutionInterest,BrainInterest,SciKnowledge,AltMethodsSci,RateNewsMediaScience,UseSocialMedia,WatchCrime,WatchMedical,WatchSciFi,Hobbies,ABCNews,CBSNews,NBCNews,BizInsider,Vox,IJR,PBS,Politico,LATimes,PoliticalViews,Language,Parent of 0-17 year olds,Occupation,ReligiousEvents,OwnSmartPhone,ComputerOwner,Age,Education,Race,Gender,HOH,HHSize,HousingType,Income,MaritalStatus,EmploymentStatus,Age,Children0-1,Children2-5,Children6-12,Children13-17,Adults18+
2,1,1,1,1,0,1,1,0,0,2,2,3,2,2,1,4,2,1,1,1,1,0,0,1,3,2,2,1,4,4,1,2,1,1,1,0,0,0,1,0,1,2,1,1,1,6,1,2,2,4,3,2,1,4,1,16,1,1,42,0,0,2,0,2
2,0,0,0,0,0,0,0,0,0,3,3,3,3,3,4,4,2,0,0,0,0,0,0,0,4,2,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,3,1,2,11,4,1,3,1,4,1,1,0,1,1,17,5,1,26,0,0,0,0,1
2,0,0,0,0,0,1,0,0,0,2,1,2,2,1,3,2,2,1,1,1,0,1,1,1,2,2,3,1,2,3,1,2,1,1,1,1,0,0,1,0,0,3,1,2,-2,6,2,2,4,2,1,1,1,1,1,11,1,5,74,0,0,0,0,1
2,1,1,1,1,1,1,0,1,0,2,1,1,3,2,2,2,1,1,1,1,1,1,0,0,3,2,1,1,2,2,2,1,1,1,1,0,0,0,1,0,0,3,1,1,-2,5,4,1,3,3,4,2,1,3,1,1,1,7,46,0,0,1,1,1
2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,0,1,0,0,0,1,2,1,1,2,1,1,2,1,1,1,0,0,0,0,0,0,2,1,2,14,4,1,2,3,3,2,2,1,2,1,4,5,1,45,0,0,0,0,2
2,0,0,0,0,1,1,1,0,1,1,2,3,1,1,2,2,2,1,0,1,0,1,0,1,2,2,2,1,2,3,2,2,1,0,0,0,0,0,0,1,0,2,1,2,29,5,1,1,3,4,1,2,1,4,1,19,1,1,59,0,0,0,0,4
2,0,0,0,0,0,0,0,0,0,2,2,4,3,2,2,3,2,1,1,1,1,1,1,1,2,2,3,1,3,3,3,2,0,0,0,0,0,0,0,1,0,2,1,2,-2,6,1,1,1,1,1,2,0,3,1,11,5,7,28,0,0,0,0,3
1,0,0,0,0,1,1,0,1,0,1,1,2,1,2,4,3,2,1,1,1,1,0,0,1,2,2,3,2,2,3,3,2,0,0,0,0,0,1,0,0,0,3,1,2,-2,2,1,3,4,4,1,1,1,2,1,18,1,5,73,0,0,0,0,2
1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,3,1,2,0,1,1,1,0,0,0,1,2,3,2,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,3,2,4,2,1,1,4,1,20,1,1,36,0,2,0,0,2
1,0,0,0,0,0,0,1,0,0,1,2,3,1,1,3,2,2,0,1,1,0,1,0,1,3,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,2,1,2,-2,6,1,2,3,3,1,1,1,1,1,7,5,5,58,0,0,0,0,1
